Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Indonesia,IDN,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221000,854000,409000,7400,104000,427000,943000,204000,1246000,365000,853000,463000,705000
Indonesia,IDN,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,0.480769231,,,,,,,,,,,,,,0.02558957,0.007040171,0.01053075,0.010141707,0.066135294,0.05969766,0.69903586,0.694657354,0.072470576,0.129273333,0.086315559,0.075259915,0.058745678,0.176391484,0.13313724,0.148476256,0.246020018,0.280988075,0.390226532,0.704766406,0.83362462,0.939493683,0.9572601,1.184883907,1.282319394,1.1680107,1.203110276,1.193350693,1.378631355,1.160451114,1.299779913,1.257193311,1.430626476,1.496440343,1.521417097,1.519975177,1.945490414,1.701451272,1.673864259,1.785407449,1.896499099,1.932005194,2.089966836,1.897207203,1.657964319,1.776270345,
Indonesia,IDN,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.21169851,14.91921304,17.87722665,18.24817136,20.39125395,22.34558485,24.334287,25.12521281,27.35913472,26.44236763,34.39043052,32.87039339,33.75463723,32.83162991,32.83337561,33.17096166,30.53708964,28.78990668,29.46730673,30.60000178,29.05282832,28.92003357,30.70273261,30.29078278,29.94067486,28.62669461,29.64935654,28.08890343,28.71329378,30.71137083,
Indonesia,IDN,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,6.213592233,3.156796243,5.060088552,4.679410593,2.065799541,2.594840668,3.20982762,2.447058824,3.362531789,2.968243681,2.031281739,1.669251117,1.689254287,3.421548001,3.212119635,4.495324359,3.974478735,3.429397126,4.561896505,4.618301594,2.784826479,4.665586495,3.63549007,2.245053971,2.809757784,3.410285358,3.113431862,3.474804362,4.124131693,7.568816118,7.398083369,4.701937349,4.061149612,5.696021546,5.355210163,6.46130648,7.173195667,7.564022805,6.226676412,7.476509046,7.035497592,9.062287432,10.93944884,10.33299747,11.62919098,8.187460313,7.709610851,9.509954295,8.572637196,8.909103654,9.416768546,10.75124697,10.95278783,11.45327441,11.19699961,9.704412793,10.02340708,9.987066315,10.73953534,9.464335424,
Indonesia,IDN,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.66,16.48,,,15.92,,12.28,11.73,17.67,6.07,10.75,6.26,6.06,6.92,5.48,4.94,4.29,4.19,4.24,7.13,3.89,5.97,6.23,7.13,6.56,,,7.18,6.82,7.39,10.66,
Indonesia,IDN,"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.88,24.2,,,16.89,,14.32,10.6,21.05,8.24,9.72,8.32,6.15,6.19,5.79,5.97,6.02,6.08,5.79,6.81,5.12,5.07,5.18,5.21,5.23,,,6.21,5.75,6.11,6.19,
Indonesia,IDN,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,17,,,15.3,,,13.6,,,,,,13.2,,,,,13.1,,,,11.4,,,,16.2,10.6,,,
Indonesia,IDN,"Population, female",SP.POP.TOTL.FE.IN,44149134,45314591,46515373,47754029,49034843,50360385,51730378,53141685,54590307,56070980,57579308,59113484,60672485,62253779,63854773,65473388,67104492,68746528,70404879,72087687,73798695,75542702,77311823,79081881,80820509,82505545,84123860,85684161,87212790,88748237,90317033,91929575,93573572,95225398,96850504,98424427,99940759,101409092,102840636,104252992,105659995,107066152,108470613,109875997,111283965,112697081,114113394,115537042,116983222,118471487,120013721,121616719,123270656,124949892,126618711,128250415,129835522,131378183,132882052,134355806,135805760
Indonesia,IDN,"Population ages 65 and above, total",SP.POP.65UP.TO,3119016,3173044,3218581,3258698,3297789,3339003,3428086,3514801,3601852,3692915,3789935,3929417,4070811,4212306,4351197,4486245,4658671,4825116,4982910,5128059,5259156,5419735,5566447,5703657,5836714,5969828,6139575,6307090,6477218,6655630,6846473,7101786,7359953,7621988,7889306,8163299,8509974,8859643,9214584,9575079,9939275,10209302,10440070,10624761,10763044,10863626,11163724,11430145,11661484,11853195,12001058,12363974,12714683,13073939,13467145,13909895,14449254,15037331,15677907,16373666,17129453
Indonesia,IDN,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,4.53813205,4.481340238,4.445938765,4.432553743,4.443320029,4.478242174,4.531932862,4.606186274,4.690464554,4.771587727,4.84155176,4.889077423,4.928070772,4.960256308,4.989089852,5.016222774,5.034963978,5.052482069,5.063036895,5.059069242,5.036921046,4.994886204,4.943130108,4.88284415,4.815731858,4.744928356,4.664894122,4.58586856,4.520178749,4.484743736,4.489166512,4.529911076,4.603651339,4.708118941,4.84019474,4.996195711,5.164045232,5.357404245,5.561512669,5.754667454,5.922870808,6.013317822,6.091426809,6.175209495,6.269074794,6.362539239,6.4979331,6.617119382,6.727775886,6.83237056,6.928220316,6.992194058,7.041863231,7.080956901,7.113715602,7.141977669,7.150660202,7.156526895,7.163667972,7.179198493,7.206776797
