Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Japan,JPN,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,JPN,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.70243071,20.35559346,19.8983232,19.3720779,18.44221554,16.94518946,15.94785334,13.16231879,11.83923172,12.08225539,10.67676944,9.228328437,9.146751005,8.644034262,8.368795933,8.519404709,8.313260744,8.350981065,8.107572426,7.99950698,
Japan,JPN,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,2.543716372,2.56686248,3.265313813,3.251075319,3.902083057,4.012857602,4.000976366,5.285403125,6.125029086,6.153011903,5.421680332,4.691848907,4.73964502,4.24353955,3.666181475,3.304487922,2.675393041,2.640721652,2.552058693,2.597121189,2.437836652,2.380222442,2.189191244,1.990973474,1.93799076,2.107295545,2.584112113,2.33499006,1.805851135,1.733338937,1.39132554,1.341490327,1.320502082,1.372867935,1.279889327,1.195765442,1.237729828,1.229088707,1.213273131,1.115456349,1.142176285,1.148554619,1.5315822,1.566819055,1.810492211,1.82059755,2.144571979,2.134812526,2.327906965,1.486534546,1.504304015,1.812713106,2.13233286,1.998511251,1.780603444,1.545212367,1.051967161,1.105077581,1.068624002,1.031954975,
Japan,JPN,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,23.71497162,23.72916874,20.74127828,20.36622014,21.29304458,19.14647863,19.34010743,17.9431579,16.18302698,14.61651017,15.56604361,17.10388962,10.94378422,8.863432788,10.22337966,10.15128432,10.19265632,11.15362642,8.637478821,6.70521405,7.046749026,6.788699804,6.94271028,6.681549196,7.441940827,8.769730514,8.855951082,8.730678184,7.073277914,6.687216318,6.772856681,7.280847979,6.658749447,6.197580482,5.458514119,5.168578552,4.320190142,4.125141806,3.583584874,3.266889569,3.062876886,2.938439096,2.788393234,2.386231688,2.322750028,2.182595502,1.898948822,1.840653868,1.938690469,1.978587379,1.678684448,1.709764156,1.603443368,1.812253497,1.826380842,1.718493202,1.631295689,1.641026972,1.512443537
Japan,JPN,"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,2.95,2.95,2.95,2.95,2.95,2.95,8.84,8.3,7.49,7.16,6.91,6.57,6.23,6.17,6.41,6.73,7.84,7.47,6.86,3.06,3.06,3.08,3.08,3.08,
Japan,JPN,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10202000000,9742000000,8372000000,6528000000,8441000000,10759000000,8995000000,8321000000,7547000000,9923000000,10531000000,10779000000,10747000000,11070000000,9588000000,11356000000,12498000000,13061000000,10383000000,9295000000,7278000000,7406000000,7586000000,7899000000,7869000000,
Japan,JPN,"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,JPN,"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y,0.906114493,0.956641907,0.990771952,1.008355422,1.010407923,0.998642957,1.049079826,1.087857608,1.112692033,1.122067338,1.117021795,1.171745756,1.212251024,1.240920855,1.262291383,1.280167279,1.358637344,1.432773979,1.501882215,1.565296081,1.624329952,1.744253202,1.855316709,1.959115451,2.059487123,2.160566214,2.309381159,2.454484871,2.599356956,2.747911707,2.904115662,3.10469693,3.30642192,3.504837129,3.693370889,3.871356281,4.087973498,4.289358466,4.486803425,4.693755595,4.920220151,5.191607556,5.468459084,5.755839275,6.0584949,6.382440765,6.712843208,7.042085007,7.374879482,7.717126459,8.077249077,8.395368617,8.707564244,9.023105556,9.344699084,9.676231322,9.975993597,10.2647911,10.55644152,10.86706393,11.21378596
Japan,JPN,"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y,3.800973999,3.862780618,3.923885412,3.988729895,4.063428466,4.150615979,4.235184956,4.33909453,4.445040067,4.528489112,4.57714862,4.592190814,4.574770937,4.54793121,4.54698448,4.591754763,4.664766755,4.783126033,4.931569617,5.086011516,5.232206403,5.380224213,5.516408769,5.642055655,5.761055782,5.873718317,5.966053988,6.055119681,6.135475438,6.198069477,6.23966089,6.25856597,6.260490061,6.25731326,6.267578916,6.302704282,6.360286323,6.430543545,6.525328576,6.662796388,6.849366212,7.077724783,7.363071957,7.647472449,7.843686553,7.900634483,7.831036305,7.629640231,7.340081274,7.033442209,6.755815328,6.503388411,6.274051597,6.07816141,5.925912543,5.824139856,5.781345616,5.802674738,5.87185711,5.961557011,6.053986986
Japan,JPN,"Population ages 15-64, total",SP.POP.1564.TO,59765721,61005805,62356692,63805875,65229434,66575363,67570518,68605345,69622144,70566005,71359085,72846160,73623278,74325574,75004852,75747963,76226952,76834757,77540045,78226570,78846296,79649052,80306220,80936891,81634451,82466968,83142516,83940467,84760716,85493150,86010433,86491520,86828727,87017969,87114965,87148203,87113025,87033128,86946112,86761304,86547107,86351420,86156721,85930942,85503551,84991747,84556631,84116655,83563130,82886937,82153251,81219621,80252578,79281609,78362321,77544929,76823835,76168000,75571759,75032834,74437254
