Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mexico,MEX,Gross capital formation (constant 2015 US$),NE.GDI.TOTL.KD,29846145421,30903156538,30774059868,36056299601,43093007065,61294744431,66187952229,68950195262,79981676406,73680776796,78046851197,75558055269,84209291510,96232418968,1.12772E+11,1.15365E+11,1.1568E+11,1.09033E+11,1.24347E+11,1.43766E+11,1.6209E+11,1.86738E+11,1.41061E+11,1.0248E+11,1.08048E+11,1.20001E+11,97342817830,1.02737E+11,1.15064E+11,1.20181E+11,1.33523E+11,1.43591E+11,1.63863E+11,1.59603E+11,1.82658E+11,1.25554E+11,1.45338E+11,1.6582E+11,1.82873E+11,1.88171E+11,1.98261E+11,1.80914E+11,1.79798E+11,1.83009E+11,1.98689E+11,2.03684E+11,2.25566E+11,2.36952E+11,2.49146E+11,2.19572E+11,2.34473E+11,2.49614E+11,2.62944E+11,2.57389E+11,2.61348E+11,2.73198E+11,2.74667E+11,2.71317E+11,2.72535E+11,2.58115E+11,2.11279E+11
Mexico,MEX,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,8.842116083,6.207556926,2.714800146,6.89906935,51.76826419,9.630570041,-5.398043887,5.007813874,12.33119756,4.275495716,2.84653846,13.94161432,10.91278108,-0.219106035,2.270193574,7.275223997,18.21728955,22.76243672,18.69947532,22.20196372,11.36767318,22.55840135,14.22283462,5.753443018,-4.461343473,4.490581056,9.490255824,5.762987013,2.269487995,3.644939966,4.58471245,1.683768082,3.737295143,8.795171802,20.19796455,15.4479319,9.385221683,7.395700338,5.430225917,11.56658206,-0.521305665,0.396122886,1.906683191,9.870233657,6.314580455,7.811456749,1.974058854,-1.01744059,-10.85494719,22.36240871,7.713476027,6.524536974,1.37052225,6.982396407,8.414396545,3.582349651,4.162021335,6.003685777,1.480122378,-7.298628312
Mexico,MEX,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,77.21349693,76.87514124,77.15157895,74.70985849,74.74856574,73.13626374,73.22039474,73.25753012,74.1027248,72.98325123,71.96436937,73.22071429,71.78166372,70.47599132,69.81601111,68.72031818,68.0787965,66.31078962,66.06047069,64.40283898,61.64981596,61.00112436,57.97279311,58.02110693,60.12443967,60.96453571,65.85321593,62.58835694,68.20600087,69.34357394,69.96679256,70.79627285,71.90090315,69.3859162,68.63278023,66.22608808,66.87265414,66.69486661,66.67118274,67.27672219,67.93825004,68.89998141,69.66197428,70.22713109,68.32230177,68.62798522,67.26351732,67.1655338,66.93263797,65.82854937,65.34937423,64.80669465,64.7245628,66.4688001,65.86055404,65.41197378,65.52222094,65.2190808,64.77696123,64.88881065,63.74667027
Mexico,MEX,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,736552000,809224000,953088000,1104168000,1284720000,1372744000,1582144000,1745016000,2008704000,2233624000,2579456000,2986512000,3899144000,5074136000,6581448000,9079448000,9799753247,8803867257,11192855263,14662978070,19510608696,26926367347,18188758865,13103563697,16219642431,17026021798,11781966329,12331644174,15409575470,18436993297,22025623622,28545792473,36108304307,45641008153,49967160380,30790496308,33370043688,41342172507,44979754269,55092447492,67358879500,74771103262,80127010667,80473440634,82035838827,92325474082,1.00898E+11,1.09537E+11,1.19096E+11,1.07258E+11,1.24518E+11,1.39027E+11,1.43491E+11,1.55372E+11,1.60407E+11,1.44341E+11,1.29531E+11,1.34626E+11,1.41437E+11,1.44782E+11,1.37928E+11
Mexico,MEX,"Lead time to import, median case (days)",LP.IMP.DURS.MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,2.52,,6,,2,,3,,5,,
Mexico,MEX,"Air transport, passengers carried",IS.AIR.PSGR,,,,,,,,,,,2966600,3107300,3962000,4589600,5501500,6522900,7675700,8238200,9387700,11381500,12889800,13853300,12777300,13923500,14440200,15364400,13824500,13504900,11412300,12689000,14341300,14901000,15532200,16484800,18791400,14968800,14677700,17266500,17717400,20561100,20894205,20172824,19618662,20661206,21167881,21857658,21243010,20952513,18825976,15728171,31269061,29538937,32909408.72,35986501.82,39570522,46966763,53313307,58537832,64569640,69937838,34133108
Mexico,MEX,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22800000,519800000,17000000,6000000,60200000,48200000,173600000,,72000000,,,421700000,30000000,53100000,306500000,38900000,288500000,793000000,267900000,42300000,140550000,1046500000,1424600000,,,537300000,,14700000
Mexico,MEX,Start-up procedures to register a business (number),IC.REG.PROC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,8,8,8,8,
