Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Russian Federation,RUS,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,220,,145,229,1754,2721,,,5854,2907,791,1289,480,1151,682,259,176,404,696,418,356,516,321,174,84,69,53,30,26,32
Russian Federation,RUS,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.993173292,8.710428813,5.951096995,6.617793037,7.194660217,5.921314864,5.326091348,5.992644725,5.930032612,5.920855107,7.534180103,7.551782071,7.348264865,6.525170682,6.028662588,5.223097714,5.469559603,6.683703669,6.667769346,7.738866015,8.272253658,8.327201588,9.271105873,9.825361159,11.48331065,12.51885682,14.27893136,14.63609705,
Russian Federation,RUS,Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9484447,57.40757238,53.63629545,50.50403155,52.55291687,52.49418984,53.43463892,45.36793565,47.24795708,46.19075746,45.81887529,42.94446736,38.65060186,34.49954249,30.60469861,34.33981351,36.4532163,36.80827349,40.10399111,42.5097036,42.40850848,40.04370776,32.76900613,35.51918743,36.68783461,37.14622148,14.53520991
Russian Federation,RUS,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40737000000,36135000000,50452000000,62603000000,68092000000,71983000000,58015000000,39537000000,44862000000,53764000000,60966000000,76070000000,97382000000,1.25434E+11,1.64281E+11,2.23486E+11,2.91861E+11,1.91803E+11,2.48634E+11,3.23831E+11,3.35446E+11,3.41269E+11,3.07877E+11,1.93019E+11,1.91493E+11,2.38384E+11,2.48856E+11,2.54598E+11,2.4038E+11
Russian Federation,RUS,"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48,8.48,8.48,8.49,8.48,8.57,8.31,8.56,8.31,8.31,8.33,8.33,8.33,
Russian Federation,RUS,"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89,6.89,6.89,6.89,6.89,6.86,7,6.86,7,7,7.01,7.01,7.01,
Russian Federation,RUS,Urban population,SP.URB.TOTL,64421857,66226377,68060071,69923357,71815164,73731369,75267305,76812479,78366306,79922296,81464683,82992261,84524649,86061054,87600777,89145034,90810675,92479950,94157479,95659612,96960865,98228786,99464693,100677781,102058393,103466989,104825013,106169956,107471421,108424260,108600667,108905031,109004756,108940535,108895790,108866282,108700642,108515146,108329810,107987927,107528803,107067910,106569238,106133030,105771342,105433226,105152927,105037446,105055527,105149987,105261487,105407937,105669982,105998572,106354644,106703732,107050095,107349517,107539205,107708298,107723564
Russian Federation,RUS,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.78615,602.47065,566.63041,547.91886,570.26779,575.42059,574.40759,556.76308,552.19076,516.82262,517.945,511.3348,486.88029,474.11193,474.22877,490.53247,475.24238,483.31047,496.61687,483.64295,460.89708,451.2263,437.83869,,
Russian Federation,RUS,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,2166124,2214620,2260276,2305234,2351065,2400467,2459893,2519822,2582993,2652238,2728326,2841969,2947218,3048223,3153194,3266524,3407930,3560527,3702046,3800177,3840091,3871828,3855705,3808719,3758985,3714318,3727312,3732053,3757556,3845149,4000336,4266361,4591207,4921895,5193977,5372737,5540033,5604862,5621331,5654088,5736051,5933463,6167888,6378921,6480950,6431062,6404960,6290584,6141787,6020263,5946935,5967819,6014140,6083183,6172125,6278602,6498727,6731767,6964320,7190286,7394786
Russian Federation,RUS,"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y,6.88654539,7.352771403,7.892748787,8.397752613,8.707592895,8.73722277,8.489016505,7.920290111,7.223755138,6.694473245,6.50046521,6.663494052,7.174964175,7.806117372,8.194268835,8.133129035,7.65124081,6.753848617,5.679792073,4.814435317,4.391737316,4.360688214,4.726914857,5.34003463,5.954006336,6.418611404,6.770930946,7.009688419,7.16717626,7.310147276,7.478352522,7.654065548,7.838294219,8.008743052,8.129103597,8.177597247,8.182529077,8.116762761,7.99036869,7.816610362,7.604752145,7.328734274,7.011316093,6.695191218,6.444624718,6.300434297,6.190278499,6.213960876,6.349198469,6.52190758,6.668490045,6.792771479,6.87064559,6.921463109,6.982989152,7.077076038,7.178696212,7.290778248,7.41295675,7.544447812,7.680840976
Russian Federation,RUS,"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y,7.838998522,8.209756847,8.441899733,8.568145216,8.660783811,8.771557607,8.892159792,8.996398679,9.07572201,9.101320293,9.045199323,8.914572335,8.699372951,8.426340048,8.119427397,7.786037998,7.441135898,7.075194449,6.703384919,6.377785474,6.159346531,6.07557089,6.097675102,6.200684528,6.323658956,6.413503504,6.490237832,6.538774368,6.568593463,6.609302503,6.685926796,6.793334122,6.934005273,7.093534616,7.249943135,7.38837162,7.54623148,7.670020006,7.750580739,7.744632987,7.594255567,7.269852639,6.814749354,6.272964843,5.73574327,5.286366023,4.955049297,4.682062652,4.446981116,4.240623702,4.078963706,4.020082914,4.048793403,4.146274482,4.276224755,4.407979345,4.538548518,4.669156475,4.800357212,4.940005867,5.093814084
Russian Federation,RUS,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,56.769434,57.645335,58.521236,58.3996504,58.2780648,58.1564792,58.0348936,57.913308,57.5498634,57.1864188,56.8229742,56.4595296,56.096085,55.4463042,54.7965234,54.1467426,53.4969618,52.847181,52.6088594,52.3705378,52.1322162,51.8938946,51.655573,52.761158,53.866743,54.972328,56.077913,57.183498,55.371565,53.559632,51.747699,49.935766,48.123833,47.6018226,47.0798122,46.5578018,46.0357914,45.513781,44.7259102,43.9380394,43.1501686,42.3622978,41.574427,42.686702,43.798977,44.911252,46.023527,47.135802,48.8462998,50.5567976,52.2672954,53.9777932,55.688291,56.635997,57.583703,58.531409,59.479115,60.426821,60.7597112,61.0926014,
Russian Federation,RUS,Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,5.94,8.29,9.68,10,12.14,13.54,13.17,10.78,9.34,8.14,8.46,8,7.31,7.42,6.35,6.46,8.91,7.88,6.97,5.79,5.76,5.48,5.82,5.76,5.36,4.91,4.65,5.64
Russian Federation,RUS,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96,13.71,16.32,18.76,19.33,23.53,27.1,23.95,20.71,18,15.57,17.55,17.21,15.51,16.37,14.44,14.04,18.46,17.09,15.45,14.86,13.94,13.79,16.09,16.46,16.31,16.96,15.18,16.96
